Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1243965,-,-,-,40.73,-74.02,-5,13,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2013,1,1,0,0,1.1,0,0,0,6,-0.2,0,0,0,0,91.15,162.26,0.06,1010,1.3,256,3.5,0.0000,0.0000
2013,1,1,0,30,1,0,0,0,6,-0.2,0,0,0,0,91.81,161.14000000000001,0.06,1010,1.3,259,3.4000000000000004,0.0000,0.0000
2013,1,1,1,0,0.9,0,0,0,6,-0.30000000000000004,0,0,0,0,91.84,158.18,0.06,1010,1.2000000000000002,262,3.4000000000000004,0.0000,0.0000
2013,1,1,1,30,0.7000000000000001,0,0,0,6,-0.30000000000000004,0,0,0,0,93.17,154.01,0.06,1010,1.2000000000000002,265,3.3000000000000003,0.0000,0.0000
2013,1,1,2,0,0.6000000000000001,0,0,0,7,-0.4,0,0,0,0,92.69,149.14000000000001,0.06,1011,1.2000000000000002,268,3.2,0.0000,0.0000
2013,1,1,2,30,0.4,0,0,0,7,-0.5,0,0,0,0,93.94,143.86,0.06,1010,1.2000000000000002,270,3.2,0.0000,0.0000
2013,1,1,3,0,0.2,0,0,0,7,-0.7000000000000001,0,0,0,0,93.58,138.36,0.06,1010,1.1,271,3.1,0.0000,0.0000
2013,1,1,3,30,0.2,0,0,0,7,-0.7000000000000001,0,0,0,0,93.58,132.74,0.06,1010,1.1,272,3.1,0.0000,0.0000
2013,1,1,4,0,0.1,0,0,0,7,-0.9,0,0,0,0,93.04,127.06,0.06,1010,1.1,272,3.1,0.0000,0.0000
2013,1,1,4,30,0.1,0,0,0,7,-0.9,0,0,0,0,93.04,121.39,0.06,1010,1.1,272,3.1,0.0000,0.0000
2013,1,1,5,0,0,0,0,0,7,-1,0,0,0,0,93.09,115.75,0.06,1011,1.1,272,3.1,0.0000,0.0000
2013,1,1,5,30,0.1,0,0,0,7,-1,0,0,0,0,92.42,110.17,0.06,1011,1.1,273,3.1,0.0000,0.0000
