Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1243965,-,-,-,40.73,-74.02,-5,13,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2018,1,1,0,0,-13.3,0,0,0,4,-15.4,0,0,0,0,84.37,162.28,0.8,1025,0.2,334,3.5,0.0000,0.0000
2018,1,1,0,30,-13.4,0,0,0,4,-15.4,0,0,0,0,85.05,161.15,0.8,1025,0.2,334,3.5,0.0000,0.0000
2018,1,1,1,0,-13.4,0,0,0,4,-15.3,0,0,0,0,85.66,158.18,0.8,1026,0.2,334,3.4000000000000004,0.0000,0.0000
2018,1,1,1,30,-13.5,0,0,0,4,-15.3,0,0,0,0,86.36,154.01,0.8,1026,0.2,335,3.4000000000000004,0.0000,0.0000
2018,1,1,2,0,-13.600000000000001,0,0,0,4,-15.3,0,0,0,0,86.94,149.13,0.8,1026,0.2,335,3.4000000000000004,0.0000,0.0000
2018,1,1,2,30,-13.600000000000001,0,0,0,4,-15.3,0,0,0,0,86.94,143.85,0.8,1026,0.2,335,3.4000000000000004,0.0000,0.0000
2018,1,1,3,0,-13.700000000000001,0,0,0,4,-15.3,0,0,0,0,87.45,138.34,0.8,1026,0.2,335,3.4000000000000004,0.0000,0.0000
2018,1,1,3,30,-13.8,0,0,0,4,-15.3,0,0,0,0,88.17,132.72,0.8,1026,0.2,335,3.4000000000000004,0.0000,0.0000
2018,1,1,4,0,-13.8,0,0,0,4,-15.4,0,0,0,0,88.01,127.05,0.8,1026,0.2,335,3.4000000000000004,0.0000,0.0000
2018,1,1,4,30,-13.9,0,0,0,4,-15.4,0,0,0,0,88.74,121.37,0.8,1026,0.2,334,3.4000000000000004,0.0000,0.0000
2018,1,1,5,0,-14,0,0,0,4,-15.4,0,0,0,0,88.87,115.73,0.8,1026,0.2,334,3.4000000000000004,0.0000,0.0000
2018,1,1,5,30,-14.100000000000001,0,0,0,4,-15.4,0,0,0,0,89.60000000000001,110.15,0.8,1026,0.2,334,3.4000000000000004,0.0000,0.0000
2018,1,1,6,0,-14.3,0,0,0,4,-15.5,0,0,0,0,90.24,104.68,0.8,1027,0.2,333,3.4000000000000004,0.0000,0.0000
2018,1,1,6,30,-14.3,0,0,0,4,-15.5,0,0,0,0,90.24,99.35000000000001,0.8,1027,0.2,333,3.4000000000000004,0.0000,0.0000
2018,1,1,7,0,-14.4,0,0,0,4,-15.600000000000001,0,0,0,0,90.28,94.18,0.8,1027,0.2,332,3.4000000000000004,0.0000,0.0000
2018,1,1,7,30,-13.700000000000001,14,197,18,4,-15.600000000000001,10,39,57,11,85.26,88.8,0.8,1027,0.2,332,3.5,0.0000,0.0000
2018,1,1,8,0,-13,30,536,83,4,-15.200000000000001,33,286,93,61,83.66,84.37,0.8,1028,0.2,332,3.5,0.0000,0.0000
2018,1,1,8,30,-12,42,692,162,4,-15.200000000000001,46,539,64,139,77.17,80.05,0.8,1028,0.2,331,3.7,0.0000,0.0000
2018,1,1,9,0,-11,52,787,241,0,-14.5,55,683,29,219,75.67,76.07000000000001,0.8,1028,0.2,331,3.9000000000000004,10.6139,8.1409
2018,1,1,9,30,-10.4,59,847,314,0,-14.5,66,717,0,281,72.15,72.51,0.8,1028,0.2,330,3.9000000000000004,14.0575,10.8481
2018,1,1,10,0,-9.8,66,886,377,0,-14.200000000000001,73,761,0,340,70.35000000000001,69.45,0.8,1028,0.2,329,3.9000000000000004,17.4911,13.5541
2018,1,1,10,30,-9.200000000000001,71,915,429,0,-14.200000000000001,80,776,0,384,67.11,66.97,0.8,1028,0.2,327,3.9000000000000004,20.1726,15.6741
2018,1,1,11,0,-8.700000000000001,73,934,466,0,-13.9,85,792,0,418,65.8,65.14,0.8,1027,0.2,325,3.8000000000000003,22.2723,17.3341
2018,1,1,11,30,-8.3,75,944,489,0,-13.9,87,803,0,439,63.78,64.02,0.8,1027,0.2,323,3.8000000000000003,23.5823,18.3701
2018,1,1,12,0,-7.9,76,948,497,0,-13.8,89,802,0,445,62.82,63.65,0.8,1027,0.2,322,3.8000000000000003,23.9668,18.6748
2018,1,1,12,30,-7.7,76,944,489,0,-13.8,89,800,0,439,61.79,64.03,0.8,1026,0.2,321,3.8000000000000003,23.5807,18.3687
2018,1,1,13,0,-7.5,74,933,466,0,-13.600000000000001,85,793,0,418,61.46,65.16,0.8,1026,0.2,320,3.8000000000000003,22.2690,17.3313
2018,1,1,13,30,-7.5,72,914,429,0,-13.600000000000001,80,777,0,384,61.46,67,0.8,1026,0.2,319,3.8000000000000003,20.1678,15.6698
2018,1,1,14,0,-7.4,67,884,377,0,-13.5,73,760,0,339,61.59,69.49,0.8,1026,0.2,319,3.8000000000000003,17.4335,13.5089
2018,1,1,14,30,-7.6000000000000005,61,840,313,0,-13.5,65,720,0,281,62.550000000000004,72.56,0.8,1026,0.2,317,3.7,14.0509,10.8422
2018,1,1,15,0,-7.7,54,775,240,0,-13.5,54,742,7,232,63.14,76.13,0.8,1026,0.2,316,3.5,11.2386,8.6191
2018,1,1,15,30,-8.200000000000001,44,677,160,0,-13.5,46,593,36,148,65.63,80.12,0.8,1026,0.2,315,3.4000000000000004,0.0000,0.0000
2018,1,1,16,0,-8.6,31,515,81,0,-13.700000000000001,32,377,50,69,66.35,84.44,0.8,1027,0.2,313,3.3000000000000003,0.0000,0.0000
2018,1,1,16,30,-9.1,13,182,17,0,-13.700000000000001,11,97,36,13,69,88.87,0.8,1027,0.2,311,3.3000000000000003,0.0000,0.0000
2018,1,1,17,0,-9.5,0,0,0,0,-13.9,0,0,0,0,70.17,94.26,0.8,1027,0.2,309,3.2,0.0000,0.0000
2018,1,1,17,30,-9.700000000000001,0,0,0,0,-13.9,0,0,0,0,71.28,99.43,0.8,1027,0.2,307,3.2,0.0000,0.0000
2018,1,1,18,0,-10,0,0,0,0,-14,0,0,0,0,72.32000000000001,104.76,0.8,1027,0.2,305,3.2,0.0000,0.0000
2018,1,1,18,30,-10,0,0,0,0,-14,0,0,0,0,72.32000000000001,110.24000000000001,0.8,1027,0.2,305,3.2,0.0000,0.0000
2018,1,1,19,0,-10.5,0,0,0,0,-14.100000000000001,0,0,0,0,74.81,115.81,0.43,1027,0.2,297,3.1,0.0000,0.0000
2018,1,1,19,30,-10.5,0,0,0,0,-14.100000000000001,0,0,0,0,74.81,121.45,0.43,1027,0.2,293,3.1,0.0000,0.0000
2018,1,1,20,0,-10.5,0,0,0,0,-13.9,0,0,0,0,76.16,127.13000000000001,0.43,1027,0.2,288,3.1,0.0000,0.0000
2018,1,1,20,30,-10.4,0,0,0,0,-13.9,0,0,0,0,75.56,132.8,0.43,1027,0.2,286,3.2,0.0000,0.0000
2018,1,1,21,0,-10.200000000000001,0,0,0,0,-13.4,0,0,0,0,77.32000000000001,138.42000000000002,0.43,1027,0.2,283,3.4000000000000004,0.0000,0.0000
2018,1,1,21,30,-10.200000000000001,0,0,0,0,-13.4,0,0,0,0,77.25,143.91,0.43,1026,0.2,283,3.5,0.0000,0.0000
2018,1,1,22,0,-10.200000000000001,0,0,0,0,-13,0,0,0,0,79.67,149.18,0.43,1026,0.2,284,3.7,0.0000,0.0000
2018,1,1,22,30,-10.3,0,0,0,0,-13,0,0,0,0,80.3,154.04,0.43,1026,0.2,285,3.8000000000000003,0.0000,0.0000
2018,1,1,23,0,-10.5,0,0,0,0,-12.9,0,0,0,0,82.56,158.19,0.43,1026,0.2,286,3.9000000000000004,0.0000,0.0000
2018,1,1,23,30,-10.5,0,0,0,0,-12.9,0,0,0,0,82.56,161.12,0.43,1026,0.2,287,4,0.0000,0.0000
2018,1,2,0,0,-10.4,0,0,0,0,-12.9,0,0,0,0,82.07000000000001,162.20000000000002,0.43,1026,0.2,288,4.1000000000000005,0.0000,0.0000
2018,1,2,0,30,-10.5,0,0,0,0,-12.9,0,0,0,0,82.72,161.1,0.43,1026,0.2,288,4.2,0.0000,0.0000
2018,1,2,1,0,-10.5,0,0,0,0,-12.8,0,0,0,0,83.26,158.17000000000002,0.43,1026,0.2,289,4.2,0.0000,0.0000
2018,1,2,1,30,-10.4,0,0,0,0,-12.8,0,0,0,0,82.68,154.01,0.43,1027,0.2,290,4.3,0.0000,0.0000
2018,1,2,2,0,-10.3,0,0,0,0,-12.700000000000001,0,0,0,0,82.68,149.15,0.43,1027,0.2,292,4.4,0.0000,0.0000
2018,1,2,2,30,-10.200000000000001,0,0,0,0,-12.700000000000001,0,0,0,0,82.03,143.88,0.43,1027,0.2,295,4.4,0.0000,0.0000
2018,1,2,3,0,-10,0,0,0,0,-12.8,0,0,0,0,80.27,138.38,0.43,1027,0.2,298,4.4,0.0000,0.0000
2018,1,2,3,30,-10,0,0,0,0,-12.8,0,0,0,0,80.27,132.76,0.43,1027,0.2,302,4.3,0.0000,0.0000
2018,1,2,4,0,-10.100000000000001,0,0,0,0,-13.100000000000001,0,0,0,0,78.38,127.09,0.43,1027,0.2,305,4.2,0.0000,0.0000
2018,1,2,4,30,-10.3,0,0,0,0,-13.100000000000001,0,0,0,0,79.71000000000001,121.41,0.43,1028,0.2,307,4,0.0000,0.0000
2018,1,2,5,0,-10.5,0,0,0,0,-13.4,0,0,0,0,79.36,115.76,0.43,1028,0.30000000000000004,308,3.9000000000000004,0.0000,0.0000
2018,1,2,5,30,-10.700000000000001,0,0,0,0,-13.4,0,0,0,0,80.63,110.19,0.43,1028,0.30000000000000004,308,3.8000000000000003,0.0000,0.0000
2018,1,2,6,0,-10.9,0,0,0,0,-13.5,0,0,0,0,81.34,104.71000000000001,0.43,1028,0.30000000000000004,308,3.6,0.0000,0.0000
2018,1,2,6,30,-11,0,0,0,0,-13.5,0,0,0,0,82.07000000000001,99.37,0.43,1029,0.30000000000000004,307,3.5,0.0000,0.0000
2018,1,2,7,0,-11.200000000000001,0,0,0,0,-13.3,0,0,0,0,84.35000000000001,94.2,0.43,1029,0.30000000000000004,306,3.4000000000000004,0.0000,0.0000
