Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1243965,-,-,-,40.73,-74.02,-5,13,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2017,1,1,0,0,3.6,0,0,0,6,1,0,0,0,0,83.33,162.25,0.06,1011,1.5,232,3.7,0.0000,0.0000
2017,1,1,0,30,3.6,0,0,0,8,1,0,0,0,0,83.33,161.14000000000001,0.06,1011,1.5,235,3.6,0.0000,0.0000
2017,1,1,1,0,3.5,0,0,0,8,1.1,0,0,0,0,84.5,158.18,0.06,1011,1.4000000000000001,238,3.4000000000000004,0.0000,0.0000
2017,1,1,1,30,3.3000000000000003,0,0,0,8,1.1,0,0,0,0,85.7,154.01,0.06,1011,1.4000000000000001,239,3.3000000000000003,0.0000,0.0000
2017,1,1,2,0,3,0,0,0,8,1,0,0,0,0,86.82000000000001,149.14000000000001,0.06,1011,1.3,240,3.1,0.0000,0.0000
2017,1,1,2,30,2.8000000000000003,0,0,0,4,1,0,0,0,0,88.06,143.86,0.06,1011,1.2000000000000002,242,3.1,0.0000,0.0000
2017,1,1,3,0,2.5,0,0,0,4,0.8,0,0,0,0,88.43,138.36,0.06,1012,1.1,244,3.1,0.0000,0.0000
2017,1,1,3,30,2.3000000000000003,0,0,0,4,0.8,0,0,0,0,89.69,132.74,0.06,1012,1,247,3.1,0.0000,0.0000
2017,1,1,4,0,2.1,0,0,0,1,0.6000000000000001,0,0,0,0,89.64,127.06,0.06,1013,0.9,249,3.1,0.0000,0.0000
2017,1,1,4,30,2,0,0,0,4,0.6000000000000001,0,0,0,0,90.28,121.39,0.06,1013,0.9,250,3.1,0.0000,0.0000
2017,1,1,5,0,1.8,0,0,0,4,0.6000000000000001,0,0,0,0,91.55,115.75,0.06,1014,0.8,251,3.1,0.0000,0.0000
2017,1,1,5,30,1.8,0,0,0,2,0.6000000000000001,0,0,0,0,91.55,110.17,0.06,1014,0.8,254,3.1,0.0000,0.0000
2017,1,1,6,0,1.8,0,0,0,2,0.7000000000000001,0,0,0,0,92.26,104.7,0.06,1015,0.7000000000000001,257,3.2,0.0000,0.0000
2017,1,1,6,30,2.1,0,0,0,1,0.7000000000000001,0,0,0,0,90.39,99.36,0.06,1016,0.7000000000000001,260,3.2,0.0000,0.0000
2017,1,1,7,0,2.4000000000000004,0,0,0,1,0.9,0,0,0,0,90.14,94.2,0.06,1016,0.7000000000000001,264,3.2,0.0000,0.0000
2017,1,1,7,30,3,12,164,15,1,1,12,164,0,15,86.47,88.85000000000001,0.06,1017,0.6000000000000001,268,3.3000000000000003,0.0000,0.0000
